ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
2,MAZ-ACE-850-ML-44C2,"Aceite Mazeite Soya, 1 lt","Aceite Mazeite Soya, 1 lt",1.00,LT,2,12,12,"65,21",5.10,USD,206,7591002000745,180000
3,NAT-ACE-SOY-850-ML-BF27,"Aceite Naturoil Soya, 850 ml","Aceite Naturoil Soya, 850 ml",850.00,ML,19,12,12,"37,50",3.25,USD,32,7591058001031,102000
4,POR-ACE-1000-ML-AFD7,"Aceite Portumesa Soya, 850 ml","Aceite Portumesa Soya, 850 ml",850.00,ML,20,12,12,"32,00",2.67,USD,33,7591259000871,87000
5,VAT-ACE-VEG-1000-ML-5470,"Aceite Vatel Vegetal, 1 lt","Aceite Vatel Vegetal, 1 lt",1.00,LT,21,12,12,"104500,00",2.58,COP,31,7591049193035,110000
6,VAT-ACE-SOY-1000-GR-2FAD,"Aceite Vatel Soya, 1 lt","Aceite Vatel Soya, 1 lt",1.00,LT,22,12,12,"104500,00",2.50,COP,35,7591049001903,108000
7,AMA-ARR-900-GR-54D4,"Arroz Amanecer, 900 gr","Arroz Amanecer, 900 gr",900.00,GR,7,24,24,"28,10",1.16,USD,20,7599450000010,78000
10,DON-ARR-GRA-900-GR-B4B4,"Arroz Dona Alicia, 900 gr","Arroz Dona Alicia, 900 gr",900.00,GR,26,24,24,"75000,00",1.29,COP,21,7592316000964,77000
11,GRA-ARR-MAR-1-KG-6DD0,"Arroz Gran Marquez Premium, 1 kg","Arroz Gran Marquez Premium, 1 kg",1.00,KG,27,24,24,"30,83",1.28,USD,18,7592976000694,85000
12,MAR-ARR-ESM-900-GR-060B,"Arroz Mary Esmeralda, 900 gr","Arroz Mary Esmeralda, 900 gr",900.00,GR,28,24,24,"55,68",2.32,USD,17,7591473005232,145000
13,MAR-ARR-MON-900-GR-A383,"Arroz Mary Premium Monito, 900 gr","Arroz Mary Premium Monito, 900 gr",900.00,GR,29,24,24,"53,28",2.22,USD,24,7591473005249,139000
14,MAR-ARR-NAR-900-GR-40BF,"Arroz Mary Tradicional Naranja, 900 gr","Arroz Mary Tradicional Naranja, 900 gr",900.00,GR,30,24,24,"32,16",1.34,USD,1,7591473005362,85000
15,MAR-ARR-ROJ-900-GR-730C,"Arroz Mary Superior Rojo, 900 gr","Arroz Mary Superior Rojo, 900 gr",900.00,GR,31,24,24,"32,16",3437.50,COP,23,7591473005355,85000
17,FAV-ARR-FAV-1-KG-B2F1,"Arroz Favorito, 1 kg","Arroz Favorito, 1 kg",1.00,KG,33,24,24,"32,15",1.41,USD,16,7599450000027,86000
18,PRI-ARR-SUP-900-GR-09CF,"Arroz Primor Superior Negro, 900 gr","Arroz Primor Superior Negro, 900 gr",900.00,GR,34,24,24,"39,50",1.65,USD,19,7591002800093,105000
21,NEW-ATU-SOL-160-GR-8FF2,"Atun New Pesca Aceite de Oliva, 170 gr","Atun New Pesca Aceite de Oliva, 170 gr",170.00,GR,37,12,12,"45,00",3.92,USD,69,7597963000497,85000
23,NEW-ATU-SOL-170-GR-BAF4,"Atun New Pesca Aceite, 170 gr","Atun New Pesca Aceite, 170 gr",170.00,GR,39,24,24,"44,00",1.83,USD,68,7597963000251,115000
24,EVE-ATU-ACE-170-GR-08B7,"Atun Eveba Aceite, 170 gr","Atun Eveba Aceite, 170 gr",170.00,GR,40,24,24,"55,84",2.33,USD,66,7593251000279,150000
26,QUA-AVE-400-GR-9C72,"Avena Quaker, 400 gr","Avena Quaker, 400 gr",400.00,GR,42,16,16,"23,00",1.44,USD,126,7591184002018,65000
27,QUA-AVE-800-GR-6F0F,"Avena Quaker, 800 gr","Avena Quaker, 800 gr",800.00,GR,43,12,12,"30,50",2.54,USD,127,7591184002001,85000
28,AXI-MUL-235-GR-E6FE,"Lavaplatos Axion Multiusos Duo, 2 x 450 gr","Lavaplatos Axion Multiusos Duo, 2 x 450 gr",900.00,GR,44,12,12,"122000,00",10000.00,COP,107,7702010880797,128000
30,MON-AZU-1-KG-94D4,"Azucar Montalban, 1 kg","Azucar Montalban, 1 kg",1.00,KG,46,20,20,"76000,00",3800.00,COP,13,7591357020405,79000
31,KON-AZU-X-1-KG-D5C4,"Azucar Konfit, 1 kg","Azucar Konfit, 1 kg",1.00,KG,47,20,20,"75000,00",3750.00,COP,8,7591357020627,76000
32,AMA-CAF-200-GR-5AC6,"Cafe Amanecer, 200 gr","Cafe Amanecer, 200 gr",200.00,GR,48,24,24,"49,25",02.05,USD,131,7595461000049,156000
33,AMA-CAF-500-GR-2D62,"Cafe Amanecer, 500 gr","Cafe Amanecer, 500 gr",500.00,GR,49,12,12,"51,30",4.27,USD,132,7595461000032,156000
53,HEI-COM-MAN-186-GR-3DA3,"Compota Heinz Manzana, 186 gr","Compota Heinz Manzana, 186 gr",186.00,GR,322,24,24,"18,98",0.79,USD,2,7591112158886,56000
55,HEI-COM-PER-186-GR-4802,"Compota Heinz Pera, 186 gr","Compota Heinz Pera, 186 gr",186.00,GR,370,24,24,"18,98",0.79,USD,72,7591112158893,56000
61,COL-CRE-DEN-1-UND-E009,"Crema Dental Colgate Triple Accion, 100gr","Crema Dental Colgate Triple Accion, 100gr",100.00,GR,358,144,144,"250,94",1.49,USD,141,7509546699998,456000
67,UND-DIA-ABR-FAC-1-UND-7A53,"Diablito Abre Facil, 115 gr","Diablito Abre Facil, 115 gr",115.00,GR,83,24,24,"55,70",2.49,USD,53,7591072003622,152000
68,UND-DIA-ABR-FAC-1-UND-20BF,"Diablito Abre Facil, 54 gr","Diablito Abre Facil, 54 gr",54.00,GR,84,48,48,"63,00",1.45,USD,,,169000
71,BEL-GAL-HON-1-UND-65D3,"Galleta Belvita Hony, 252 gr","Galleta Belvita Hony, 252 gr",252.00,GR,87,20,20,"49,80",2.49,USD,102,7590011890910,140000
72,BEL-GAL-KRA-1-UND-E3E6,"Galleta Belvita Kraker, 234 gr ","Galleta Belvita Kraker, 234 gr ",234.00,GR,88,20,20,"49,80",2.49,USD,115,7590011890866,140000
77,SOL-GAL-SOD-1-UND-F2BE,"Galleta de Soda El Sol, 240 gr","Galleta de Soda El Sol, 240 gr",240.00,GR,93,12,12,"17,76",1.48,USD,103,7591082007153,48000
78,ORE-GAL-AME-1-UND-97E4,"Galleta Oreo Tipo Americano, 192 gr","Galleta Oreo Tipo Americano, 192 gr",192.00,GR,94,28,28,"59,00",2.11,USD,104,7622202213762,155000
79,PUI-GAL-MAR-1-UND-2FC5,"Galleta Maria Puig, 1 x 9 ","Galleta Maria Puig, 1 x 9 ",9.00,UND,95,24,24,"41,28",1.58,USD,117,7591082000307,108000
80,ODE-GUI-S-1-UND-2901,"Guisantes Oderich, 200 gr","Guisantes Oderich, 200 gr",200.00,GR,96,24,24,"30,00",1.25,USD,84,7896041154016,75000
82,CHA-GAL-FRE-1-UND-3FD1,"Galleta Charmy Fresa,192 gr ","Galleta Charmy Fresa,192 gr ",192.00,GR,,24,24,"26,40",,USD,105,7591164000058,75000
84,HAR-PAN-1-UND-A648,"Harina Pan Maiz Blanco, 1 kg","Harina Pan Maiz Blanco, 1 kg",1.00,KG,100,20,20,"25,70",1.29,USD,15,7591002200145,71000
85,HAR-PAN-AMA-1-UND-3DCA,"Harina Pan Maiz Amarillo, 1 kg","Harina Pan Maiz Amarillo, 1 kg",1.00,KG,101,20,20,"28,30",1.42,USD,14,7591002200152,74000
86,HAR-PAN-CAC-1-UND-3136,"Harina para Cachapas, 500gr","Harina para Cachapas, 500gr",500.00,GR,102,12,12,"27,30",2.28,USD,63,7591002002893,75000
96,PRO-JAB-BAR-1-UND-D2AE,"Jabon Protex en Barra, 1 X 6","Jabon Protex en Barra, 1 X 6",6.00,UND,112,12,12,"128,17",15416.67,USD,254,7702010921445,216000
106,KOT-TOA-FEM-1-UND-4D91,"Toalla Kotex Nocturna, 1 x 8 ","Toalla Kotex Nocturna, 1 x 8 ",8.00,UND,122,24,24,"39,00",1.63,USD,110,7702425803008,98000
109,AXI-PAS-1-UND-30CF,"Lavaplatos Axion Multiusos en Pastillas, 100 gr","Lavaplatos Axion Multiusos en Pastillas, 100 gr",100.00,GR,125,72,72,"72,00",1138.89,USD,,,88000
110,NAT-LEC-CON-1-UND-81E2,"Leche Condensada Natulac, 397 gr","Leche Condensada Natulac, 397 gr",397.00,GR,126,24,24,"55,62",2.32,USD,3,7592396000922,190000
113,CAM-LEC-POL-1-UND-E875,"Leche en Polvo Campestre, 400 gr","Leche en Polvo Campestre, 400 gr",400.00,GR,129,24,24,"75,84",4.50,USD,119,7592433002131,300000
116,CAM-LEC-POL-1-UND-AC7B,"Leche en Polvo Campesina, 800 gr","Leche en Polvo Campesina, 800 gr",800.00,GR,132,12,12,"128,04",10.67,USD,120,7591016205716,720000
120,POL-MAL-1-UND-2613,"Malta Polar, 1500 ml","Malta Polar, 1500 ml",1500.00,ML,136,6,6,"9,70",3.50,USD,148,7591446002947,28000
122,POL-MAL-LAT-G-1-UND-3874,"Malta Polar Lata, 355 ml","Malta Polar Lata, 355 ml",355.00,ML,362,24,24,"17,40",0.88,USD,147,7591446001568,54000
123,MIR-MAR-G-1-UND-948C,"Margarina Mirasol, 454g","Margarina Mirasol, 454g",454.00,GR,139,12,12,"24,69",02.06,USD,88,7591058001017,69000
124,MAV-MAR-1-UND-9E0C,"Margarina Mavesa, 1 kg","Margarina Mavesa, 1 kg",1.00,KG,140,6,6,"29,10",4.85,USD,93,7590006200144,78000
125,MAV-MAR-1-UND-C9EC,"Margarina Mavesa, 250 gr","Margarina Mavesa, 250 gr",250.00,GR,347,24,24,"34,36",1.43,USD,91,75930868,92000
126,MAV-MAR-1-UND-327A,"Margarina Mavesa, 500 gr","Margarina Mavesa, 500 gr",500.00,KG,142,12,12,"30,87",2.57,USD,92,7590006200137,83000
128,NEL-MAR-1-UND-4771,"Margarina Nelly, 500 gr","Margarina Nelly, 500 gr",500.00,GR,144,12,12,"28,60",2.38,USD,90,7590006200540,78000
129,KRA-MAY-1-UND-2AF1,"Mayonesa Kraft, 445 gr","Mayonesa Kraft, 445 gr",445.00,KG,145,12,12,"46,28",3.86,USD,54,7591114040042,122000
130,MAV-MAY-1-UND-C158,"Mayonesa Mavesa, 175 gr","Mayonesa Mavesa, 175 gr",175.00,GR,146,24,24,"44,40",1.85,USD,43,75971403,118000
131,MAV-MAY-GAL-1-UND-A819,"Mayonesa Mavesa, 3,6 kg","Mayonesa Mavesa, 3,6 kg",3.60,KG,147,4,4,"110,00",27.50,USD,86,7590006003783,280000
132,MAV-MAY-1-UND-5637,"Mayonesa Mavesa, 445 gr","Mayonesa Mavesa, 445 gr",445.00,GR,148,12,12,"44,32",3.69,USD,45,719503030123,118000
133,MAV-MAY-1-UND-F8AD,"Mayonesa Mavesa, 910 gr","Mayonesa Mavesa, 910 gr",910.00,GR,149,6,6,"42,00",7.00,USD,46,719503030185,112000
134,HEI-MOS-MG-1-UND-758F,"Mostaza Heinz, 195 gr","Mostaza Heinz, 195 gr",195.00,GR,150,24,24,"44,28",1.85,USD,48,7591112041010,122000
136,HEI-MOS-MG-1-UND-B980,"Mostaza Heinz, 490 gr","Mostaza Heinz, 490 gr",490.00,GR,152,12,12,"43,82",3.65,USD,49,7591112041041,122000
137,HEI-MOS-GAL-1-UND-C2F6,"Mostaza Heinz, 3650 gr","Mostaza Heinz, 3650 gr",3650.00,GR,153,4,4,"75,33",1.83,USD,83,7591112000321,220000
140,NUC-CRU-FLO-1-UND-1221,"Nucita Crunch, 120 gr","Nucita Crunch, 120 gr",120.00,GR,156,18,18,"28,26",1.57,USD,101,7591675000370,79000
142,ROS-TOA-HOJ-1-UND-7BD8,"Toallin Rosal 80 Hojas, 1 X 1","Toallin Rosal 80 Hojas, 1 X 1",1.00,UND,158,20,20,"23,10",1.94,USD,130,7591098000759,68000
143,ROS-PAP-HIG-1-UND-1375,"Papel Rosal Plus 400 Hojas Naranja, 1 X 4","Papel Rosal Plus 400 Hojas Naranja, 1 X 4",4.00,UND,159,12,12,"23,31",1.94,USD,108,7591098170230,64000
145,PRI-PAS-ESP-1-UND-F47C,"Pasta Corta Primor Extra Especial Dedales, 1 kg","Pasta Corta Primor Extra Especial Dedales, 1 kg",1.00,KG,161,12,12,"23,80",,USD,85,7591002400736,60000
146,PRI-PAS-LAR-1-UND-A645,"Pasta Larga Primor Extra Especial Vermicelli, 1 kg","Pasta Larga Primor Extra Especial Vermicelli, 1 kg",1.00,KG,162,12,12,"22,60",,USD,100,7591002400767,60000
147,SIN-PAS-PRE-1-UND-447C,"Pasta Corta Sindoni Premium Espiral, 1 kg","Pasta Corta Sindoni Premium Espiral, 1 kg",1.00,KG,163,12,12,"20,82",1.79,USD,97,7591674000074,60000
148,SIN-PAS-DIR-1-UND-09E7,"Pasticho Sindoni, 250 gr","Pasticho Sindoni, 250 gr",250.00,UND,164,12,12,"19,47",1.62,USD,294,7591674001231,60000
149,MAR-PAS-LAR-1-KG-AD79,"Pasta Larga Mary Tradicional Vermicelli, 1 kg","Pasta Larga Mary Tradicional Vermicelli, 1 kg",1.00,KG,165,12,12,"19,80",1.69,USD,295,7597417000653,55000
156,PUI-PIR-CHO-EST-1-UND-B1DC,"Pirulin Choco Estuche de lujo, 120 gr","Pirulin Choco Estuche de lujo, 120 gr",120.00,GR,172,24,24,"90,63",3.78,USD,111,7591675004767,240000
159,BAH-SAL-1-UND-63FB,"Sal Bahia, 1 kg","Sal Bahia, 1 kg",1.00,KG,175,25,25,"24,00",1.00,USD,4,7595159000351,68000
